Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
186,IDFC First Bank Ltd,IDFCFIRSTB,P&F | F.A,-0.0068000000000000005,79.8,23245341
105,Can Fin Homes Limited,CANFINHOME,P&F | F.A,-0.0073,763.3,212502
115,Jindal Steel & Power Limited,JINDALSTEL,P&F | F.A,-0.0074,620.05,2058847
92,Piramal Enterprises Limited,PEL,P&F | F.A,-0.0075,943.0,3374386
36,Hero Motocorp Limited,HEROMOTOCO,P&F | F.A,-0.0078000000000000005,3133.65,1061525
81,Tech Mahindra Limited,TECHM,P&F | F.A,-0.008,1165.55,1418890
178,Tata Steel Limited,TATASTEEL,P&F | F.A,-0.0084,112.0,18585401
50,Escorts Limited,ESCORTS,P&F | F.A,-0.0086,2242.45,122717
80,Hcl Technologies Limited,HCLTECH,P&F | F.A,-0.0087,1184.45,1095718
28,Divi's Laboratories Limited,DIVISLAB,P&F | F.A,-0.0088,3715.0,321565
140,Birlasoft Ltd,BSOFT,P&F | F.A,-0.009000000000000001,350.45,1350620
112,HDFC Life Insurance Company Ltd,HDFCLIFE,P&F | F.A,-0.009899999999999999,666.9,2720594
173,Indiabulls Housing Finance Limited,IBULHSGFIN,P&F | F.A,-0.0103,129.15,11135357
61,Colgate Palmolive (india) Limited,COLPAL,P&F | F.A,-0.0115,1773.05,358330
48,HDFC Asset Management Company Ltd,HDFCAMC,P&F | F.A,-0.0116,2268.25,229906
72,Indusind Bank Limited,INDUSINDBK,P&F | F.A,-0.0123,1382.35,1415491
11,Bajaj Finance Limited,BAJFINANCE,P&F | F.A,-0.0129,7738.0,531015
177,Idfc Limited,IDFC,P&F | F.A,-0.0131,112.8,10655227
162,Rbl Bank Limited,RBLBANK,P&F | F.A,-0.0155,187.7,5990918
57,Astral Poly Technik Limited,ASTRAL,P&F | F.A,-0.0158,1839.55,251100
9,Maruti Suzuki India Limited,MARUTI,P&F | F.A,-0.0161,9831.0,298118
82,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,P&F | F.A,-0.018799999999999997,1164.1,1463558
84,Godrej Consumer Products Limited,GODREJCP,P&F | F.A,-0.0213,1073.55,399038
123,Marico Limited,MARICO,P&F | F.A,-0.0222,526.6,1399267
35,Eicher Motors Limited,EICHERMOT,P&F | F.A,-0.023700000000000002,3231.45,2635268
